Title,Genre_1,Genre_2,Genre_3,Num_Tracks,Avg_Valence,Avg_Danceability,Avg_Energy,Avg_Key,Avg_Loudness,Avg_Mode,Avg_Speechiness,Avg_Acousticness,Avg_Instrumentallness,Avg_Liveness,Avg_Tempo,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,Song,Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Crying Game,Crime,Drama,Romance,6,0.463333333,0.552,0.465833333,2.833333333,-14.21316667,0.833333333,0.032466667,0.332333333,0.1920705,0.181666667,108.3973333,When A Man Loves A Woman ,Percy Sledge ,Baby Jump ,Mungo Jerry ,Live For Today ,Cicero ,The White Cliffs Of Dover ,The Blue Jays ,The Crying Game ,Dave Berry ,Let The Music Play ,Carroll Thompson ,Stand By Your Man ,Lyle Lovett ,The Crying Game ,Boy George ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cutting Edge,Comedy,Drama,Romance,8,0.67975,0.663625,0.671625,6.625,-10.828875,0.5,0.045625,0.11540875,0.105265938,0.156375,115.3095,Cry All Night ,Neverland ,Street of Dreams ,Nia Peeples ,Diddley Daddy ,Chris Isaak ,Ride on Time ,Black Box ,Groove Master ,Arrow ,Lauretta ,Malcolm McLaren ,Love Shack ,Rosemary Butler ,Walking the Dog ,John Townsend ,It Ain't Over Till It's Over ,Rosemary Butler & John Townsend ,Auld Lang Syne ,Rosemary Butler & Warren Wiebe ,Shame Shame Shame ,Johnny Winter ,Turning Circles ,Sally Dworsky ,The Race ,Yello ,Baby Now I ,Dan Reed Network (as The Dan Reed Network) ,I've Got Dreams to Remember ,Delbert McClinton ,Feels like Forever ,Joe Cocker ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Becomes Her,Comedy,Fantasy,Horror,2,0.397,0.4605,0.467,2.5,-9.07,1,0.0449,0.5152,0.0048049,0.2685,98.344,Me ,Meryl Streep (uncredited),Me ,Meryl Streep,Give a Little Bit ,Supertramp ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diggstown,Drama,Sport,N/A,1,0.753,0.467,0.526,9,-9.982,1,0.0433,0.119,0,0.124,109.555,Mountain Music ,Alabama ,Jesus My Jesus ,The New Testament Baptist Church Choir #2 of North Highlands. CA,My Blue Condition ,Dana McVicker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Distinguished Gentleman,Comedy,Crime,N/A,1,0.497,0.784,0.749,9,-8.482,1,0.101,0.000785,0.385,0.0748,122.961,SOUL TRIILOGY III ,Chuckii Booker ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Donner Party,Documentary,Biography,History,1,0.334,0.217,0.0205,7,-17.387,1,0.0434,0.893,3.98E-05,0.123,72.196,A Strange Day in the Countryside ,Clannad ,Fear and Loathing at 4th and Butternut ,John Fahey ,White Cockade ,The Village Green ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Giggles,Comedy,Drama,Horror,2,0.5075,0.389,0.6715,1,-6.1285,1,0.0335,0.3506515,0.0850845,0.15575,139.922,I Could Be Anything ,Apostles,Busted ,Copperhead,Stateside ,Tin Machine,Real Today ,Tonto Tonto,No One Believes Me ,Dingo Featuring Johnnie Fiori,O Father ,House of Lords,Bad Case Of Lovin' You ,Paul Rogers,Back To Blue ,Ten Inch Men,Locust Mind ,Fudge Factory. Inc.,Under Control ,Gary Limuti,Little Bit Of Pain ,Girls Bones Found,Sixth And Nowhere ,Girls Bones Found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driving Me Crazy,Comedy,N/A,N/A,2,0.4665,0.575,0.6715,10,-13.097,0.5,0.04205,0.2396,0.000545,0.17425,128.3695,I'm Still Standing ,Elton John,Super Freak Family ,Nina Hagen (as Nina Hagan),I Rule the Ruins ,Warlock,Slow Ride ,Z-Boy,On the Balcony ,Rainbirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dónde quedó la bolita,Comedy,Music,Musical,2,0.832,0.815,0.8405,7.5,-9.598,1,0.07005,0.2405,0.00117855,0.1245,118.888,La bolita ,Garibaldi,Dame un beso ,Garibaldi,Banana ,Garibaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encino Man,Comedy,N/A,N/A,8,0.548375,0.569125,0.851125,4.875,-8.77825,0.625,0.0626875,0.055180175,0.1433296,0.240975,113.7925,Reality Used to Be a Friend of Mine ,PM Dawn ,Frankenstein ,The Edgar Winter Group ,Let's Get Rocked ,Def Leppard ,American Way ,Sacred Reich ,I'm Too Sexy ,Right Said Fred ,Treaty ,Yothu Yindi ,Leave My Curl Alone ,Brick ,Wild Thing ,Cheap Trick,Stone Cold Crazy ,Queen ,Mama Said Knock You Out ,Scatterbrain ,Young and Dumb ,The Scream ,You Turn Me On ,Crystal Waters ,Wooly Bully ,The Smithereens ,Luxury Cruiser ,T-Ride ,Rhythm Is a Mystery ,K-Klass ,Feed the Monkey ,Infectious Grooves ,Cool Hand Loc ,Alice Cooper ,Keep Yourself Alive ,Queen ,You're Invited (But Your Friend Can't Come) ,Vince Neil ,Why'd You Want Me ,The Jesus & Mary Chain (as The Jesus and Mary Chain) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equinox,Crime,Drama,Mystery,2,0.10155,0.311,0.081,4,-22.08,0.5,0.0435,0.874,0.6605,0.10655,108.607,EOS ,Terje Rypdal and David Darling ,MIRAGE ,Terje Rypdal and David Darling ,OG HVA SYNES VI OM DET ,Terje Rypdal & The Chasers ,SYMPHONIC DANCES - OPUS 45 ,Reah Sadowsky,ISTORIA NA EDNA LYUBOV ,Ivo Papasov and His Orchestra (Featuring Maria Karafezieka) ,LEFT ALONE ,Archie Shepp & Abdullah Ibrahim (as Dollar Brand) ,PACHELBEL KANON ,Danial Kohialka & Andy Kulberg ,[Various] Piano Pieces ,Ken Payson ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erotic Liaisons,Crime,Drama,Mystery,1,0.341,0.558,0.123,0,-10.396,1,0.0525,0.809,0.00121,0.0916,70.16,La Vie en Rose ,Louis Armstrong ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Una estación de paso,Drama,Romance,N/A,1,0.969,0.823,0.8,8,-7.198,1,0.0419,0.614,0,0.0934,126.315,Pata Pata ,Miriam Makeba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excessive Force,Action,N/A,N/A,1,0.593,0.555,0.842,4,-8.118,0,0.075,0.117,0,0.132,174.944,The Pigeon On The Gate ,James Early ,Welcome To The Real Life ,Dan Reed ,Force Field ,Michael Melvoin (as Mike Melvoin). Brian Bromberg. John Guerin. Doug Webb ,You Inspire Me ,Bob Anderson ,Apartment Blues ,Michael Melvoin (as Mike Melvoin) ,Mix It Up ,Dan Reed Network ,Bass N' Ya Face ,Pop Rock and Lil' Badd ,Opus 118 #2 for Piano ,Millerard Roth,Dreamlike And Unreal ,Bob Anderson ,Just Like That ,Bob Anderson ,Burn With Me ,Dan Reed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fathers & Sons,Drama,Thriller,N/A,1,0.347,0.351,0.84,0,-9.32,1,0.0473,9.49E-06,0.267,0.251,147.69,Chew The Chew ,Gumball ,The Riddle ,Cory Lerios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fear Inside,Drama,Thriller,N/A,1,0.354,0.618,0.194,2,-17.58,1,0.0323,0.0925,0.00761,0.418,83.042,Born in the Bottoms ,Lightnin Hopkins ,Can't Sleep Tonight ,Henry Moore and Eddie Jones (as Guitar Slim) ,Vissi D'arte. Vissi D'Amore ,Gabriela Benacková and the Czech Symphony Orchestra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FernGully: The Last Rainforest,Animation,Adventure,Family,7,0.599714286,0.626285714,0.591428571,5.428571429,-11.92685714,0.714285714,0.179885714,0.345114286,0.000288753,0.272414286,110.0337143,Life Is a Magic Thing ,Johnny Clegg ,A Dream Worth Keeping ,Sheena Easton ,Batty Rap ,Robin Williams,Lithuanian Lullaby ,Veronika Povilioniene,If I'm Goanna Eat Somebody (It Might As Well Be You) ,Tone Loc,Spis. Li Milke Le ,Le Mystere des Voix Bulgares,Toxic Love ,Tim Curry,Bamnqobile ,Ladysmith Black Mambazo,Tri Jetrve ,Zbor i orkestar KUD Joza Vlahovic. Zagreb,Land Of A Thousand Dances ,Guy,Some Other World ,Elton John ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Few Good Men,Drama,Thriller,N/A,3,0.725333333,0.634333333,0.58,5.333333333,-11.07,1,0.0628,0.314333333,0.000211443,0.334666667,143.36,Hound Dog ,Big Mama Thornton ,Timber I'm Falling in Love ,Patty Loveless ,Next Time You See Me ,Jimmy Cotton ,All I Want to Do ,UB40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folks!,Comedy,Drama,N/A,1,0.89,0.596,0.603,7,-13.984,1,0.0436,0.133,0.000132,0.0758,90.738,Gravel Road ,Magic Slim and the Teardrops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forever Young,Drama,Romance,Sci-Fi,1,0.55,0.567,0.077,3,-17.213,1,0.0469,0.966,5.21E-05,0.35,99.49,The Very Thought of You ,Billie Holiday ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freejack,Action,Crime,Sci-Fi,6,0.4605,0.472833333,0.885,8.666666667,-6.908333333,0.666666667,0.076716667,0.000869333,0.006007667,0.350133333,131.7483333,Hit Between the Eyes ,Scorpions ,International Bright Young Thing ,Jesus Jones ,Break the Spell ,Eleven ,Thieves ,Ministry ,Emotional Earthquake ,2 Die 4 ,Sugar Ray ,The Jesus & Mary Chain (as Jesus & Mary Chain) ,Down in Flames ,Little Feat ,Mona Lisa Smiles ,Jane Child ,Hindu Rap ,Jane Child ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
